service_code,service_code_group
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
10,1
11,1
12,1
13,1
14,1
15,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
31,1
32,1
33,1
34,1
41,1
42,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
60,1
61,1
62,1
65,1
71,1
72,1
81,1
99,1
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
10,2
11,2
12,2
13,2
14,2
15,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
31,2
32,2
33,2
34,2
41,2
42,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
60,2
61,2
62,2
65,2
71,2
72,2
81,2
99,2
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
10,3
11,3
12,3
13,3
14,3
15,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
31,3
32,3
33,3
34,3
41,3
42,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
60,3
61,3
62,3
65,3
71,3
72,3
81,3
99,3
1,4
2,4
3,4
4,4
5,4
6,4
7,4
8,4
10,4
11,4
12,4
13,4
14,4
15,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
31,4
32,4
33,4
34,4
41,4
42,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
60,4
61,4
62,4
65,4
71,4
72,4
81,4
99,4
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
10,5
11,5
12,5
13,5
14,5
15,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
31,5
32,5
33,5
34,5
41,5
42,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
60,5
61,5
62,5
65,5
71,5
72,5
81,5
99,5
1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,6
10,6
11,6
12,6
13,6
14,6
15,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,6
31,6
32,6
33,6
34,6
41,6
42,6
49,6
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
60,6
61,6
62,6
65,6
71,6
72,6
81,6
99,6
1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,7
10,7
11,7
12,7
13,7
14,7
15,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,7
25,7
26,7
31,7
32,7
33,7
34,7
41,7
42,7
49,7
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,7
60,7
61,7
62,7
65,7
71,7
72,7
81,7
99,7
1,8
2,8
3,8
4,8
5,8
6,8
7,8
8,8
10,8
11,8
12,8
13,8
14,8
15,8
17,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
25,8
26,8
31,8
32,8
33,8
34,8
41,8
42,8
49,8
50,8
51,8
52,8
53,8
54,8
55,8
56,8
57,8
58,8
60,8
61,8
62,8
65,8
71,8
72,8
81,8
99,8
1,9
2,9
3,9
4,9
5,9
6,9
7,9
8,9
10,9
11,9
12,9
13,9
14,9
15,9
17,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
25,9
26,9
31,9
32,9
33,9
34,9
41,9
42,9
49,9
50,9
51,9
52,9
53,9
54,9
55,9
56,9
57,9
58,9
60,9
61,9
62,9
65,9
71,9
72,9
81,9
99,9
1,10
2,10
3,10
4,10
5,10
6,10
7,10
8,10
10,10
11,10
12,10
13,10
14,10
15,10
17,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
25,10
26,10
31,10
32,10
33,10
34,10
41,10
42,10
49,10
50,10
51,10
52,10
53,10
54,10
55,10
56,10
57,10
58,10
60,10
61,10
62,10
65,10
71,10
72,10
81,10
99,10
11,11
12,11
13,11
14,11
15,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,11
26,11
31,11
32,11
33,11
34,11
41,11
42,11
49,11
50,11
51,11
52,11
53,11
54,11
55,11
56,11
57,11
58,11
60,11
61,11
62,11
65,11
71,11
72,11
81,11
99,11
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
10,12
11,12
12,12
13,12
14,12
15,12
17,12
18,12
19,12
20,12
21,12
22,12
23,12
24,12
25,12
26,12
31,12
32,12
33,12
34,12
41,12
42,12
49,12
50,12
51,12
52,12
53,12
54,12
55,12
56,12
57,12
58,12
60,12
61,12
62,12
65,12
71,12
72,12
81,12
99,12
1,13
2,13
3,13
4,13
5,13
6,13
7,13
8,13
10,13
11,13
12,13
13,13
14,13
15,13
17,13
18,13
19,13
20,13
21,13
22,13
23,13
24,13
25,13
26,13
31,13
32,13
33,13
34,13
41,13
42,13
49,13
50,13
51,13
